record_id,canonical_record_id,duplicate_of,library_tier,source_manifest,source_record_id,source_type,journal,year,article_title,doi,article_url,figure_id,primary_purpose_raw,primary_purpose,style_family_raw,style_family,layout_raw,layout,information_density,classification_source,topics,asset_path,sha256,source_rights_status,rights_status,rights_override,redistribution_allowed,visual_qa_status,active_eligible,retrieval_enabled,notes
ACTIVE::S15-015::Figure 1,ACTIVE::S15-015::Figure 1,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-015,stage1_5_public_harvest,The ISME Journal,2024,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10976475/,Figure 1,microbial_interaction,microbial_interaction,mixed_schematic_data,flat_2d_mechanism,two_organism_crossfeeding_plus_pathway,two_organism_interaction,medium,inferred_from_caption,high,assets/stage1_5/S15-015/S15-015_fig1.jpg,613c6992e594e34f531c70951d3ff3aced7af02eb60db0a5e7b93c9b6b305b9f,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_exact_jats_aws_harvested,true,true,"Wild-type R. palustris (Rp) CGA0092 supports E. coli (Ec) purine auxotroph growth across diverse growth conditions; (A) hypothesized critical cross-feeing interactions when N2 is the nitrogen source (top) or when E. coli is a purine auxotroph (bottom); (B) E. coli de-novo purine synthesis pathway; (C) growth curves for E. coli monocultures and cocultures with R. palustris NifA* with either N2 or NH4Cl as the nitrogen source; (D) growth curves for E. coli ΔpurH in coculture with R. palustris strains having a wild-type nifA gene; NH4Cl was the nitrogen source; (E) growth of E. coli ΔpurH in supernatants from R. palustris CGA0092 monocultures; (C–E) error bars, SD; n=3; some error bars are smaller than the symbols; (F) growth of E. coli ΔpurH in supernatants from stationary-phase CGA0092 monocultures grown under various growth conditions; each data point represents a single biological replicate. Linear regression (solid line) ± 95% confidence intervals (dashed lines) was applied to all samples across all conditions; SN, supernatant."
ACTIVE::S15-016::Figure 5,ACTIVE::S15-016::Figure 5,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-016,stage1_5_public_harvest,The ISME Journal,2024,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11170663/,Figure 5,microbial_interaction,microbial_interaction,flat_2d_mechanism,flat_2d_mechanism,multi_organism_crossfeeding_network,two_organism_interaction,low,inferred_from_caption,high,assets/stage1_5/S15-016/S15-016_fig5.jpg,1fbecfecd9059d386bedd2c035f013b083545f92e84a27ad0ed133ee25463c49,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_aws_harvested,true,true,"Scheme of metabolite cross-feeding in the strain CM-Dehalogenimonas and Dehalobacterium-Dehalogenimonas co-cultures and consortium RM-Dehalogenimonas mixtures. Formate/H2 and acetate formed and released during CM and DCM fermentation or mineralization were utilized by D. etheniformans strain GP as electron donors and carbon source, respectively, to carry out organohalide respiration with cDCE and VC to ethene."
ACTIVE::S15-016::Figure 6,ACTIVE::S15-016::Figure 6,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-016,stage1_5_public_harvest,The ISME Journal,2024,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11170663/,Figure 6,environmental_process,environmental_process,editorial_2d_overview,editorial_2d_overview,donor_pool_to_terminal_processes,layered_gradient,medium,inferred_from_caption,high,assets/stage1_5/S15-016/S15-016_fig6.jpg,be6033c5643515fa989d0edbe863af650112ee12a0d9eb5cce97cbbfff9d04ea,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_aws_harvested,true,true,"CM and DCM are relevant, yet overlooked, energy sources contributing to the food chains in anoxic environments and support various electron-accepting processes, such as nitrate reduction (1), organohalide respiration (2, demonstrated in this study), ferric iron reduction (3), sulfate reduction (4), methanogenesis (5), and reductive acetogenesis (6)."
ACTIVE::S15-017::Figure 1,ACTIVE::S15-017::Figure 1,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-017,stage1_5_public_harvest,The ISME Journal,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12279053/,Figure 1,microbial_interaction,microbial_interaction,mixed_schematic_data,flat_2d_mechanism,circular_crossfeeding_plus_evidence,two_organism_interaction,medium,inferred_from_caption,high,assets/stage1_5/S15-017/S15-017_fig1.jpg,7d8d5e08c8b221d81e3a8615a2068fe2c49e7dfa74ec647d41a12d08388cd9ea,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_exact_jats_aws_harvested,true,true,"The LOF mutant growth rate is inferior to that of the ancestor due to the low concentration of cross-fed nutrient; (A) the coculture consists of (i) a producer, R. palustris (Rp) that fixes N2 and excretes NH4+ due to a NifA* mutation, and two V. natriegens (Vn) strains consisting of, (ii) a recipient that is incapable of N2 fixation and depends on the producer for NH4+, and (iii) a self-sufficient, N2-fixing ancestor; all strains are non-motile; (B) Monod model estimates of V. natriegens ancestor and mutant growth rates in the coculture based on the concentration of each nitrogen source (symbols); despite a higher maximum growth rate possible with NH4+, sub-saturating NH4+ concentrations dictate that the ancestor will grow faster with N2 (square) than the mutant with NH4+ (triangle); see the Methods for model details; (C) estimated ancestor and recipient growth rates in coculture with each nitrogen source."
ACTIVE::S15-018::Figure 1,ACTIVE::S15-018::Figure 1,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-018,stage1_5_public_harvest,ISME Communications,2026,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13137332/,Figure 1,microbial_interaction,microbial_interaction,mixed_schematic_data,flat_2d_mechanism,two_strain_exchange_plus_spatial_phenotype,two_organism_interaction,high,inferred_from_caption,moderate,assets/stage1_5/S15-018/S15-018_fig1.jpg,251573b66cd5f254bf52077a5515d2064b969c615763638581835d8e280f89dd,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_aws_harvested,true,true,"A two-strain synthetic cross-feeding microbial community was constructed and characterized. (a) In this system, the detoxifier strain converts the substrate (shown in red) into an intermediate (shown in green), which is then further processed by the consumer strain into final products (shown in purple) that support the growth of both strains. For (b) and (c), the detoxifier and consumer were mixed and inoculated onto agar plates supplemented with salicylate as the growth substrate for 5 days. The detoxifier expressing mCherry fluorescent protein is shown in magenta, while the consumer expressing eGFP fluorescent protein is shown in cyan. Dashed boxes mark regions that are enlarged to highlight the inoculum edge and the expansion frontier. Inoculum edges are indicated by white arrows, whereas expansion frontiers are indicated by yellow arrows. Different substrate concentrations produced distinct spatial patterns: (b) At a low substrate concentration (5 C-mM salicylate), we observed simultaneous expansion and segregation between the detoxifier and the consumer during colony expansion. (c) At a high substrate concentration (15 C-mM salicylate), a “detoxifier-first” pattern emerged, with the detoxifier leading the radial expansion and the consumer following behind the expansion front. Representative images from one of n = 3 biological replicates are shown."
ACTIVE::S15-018::Figure 4,ACTIVE::S15-018::Figure 4,,active,manifests/stage1_5_wave2_harvested_figures.csv,S15-018,stage1_5_public_harvest,ISME Communications,2026,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13137332/,Figure 4,comparative_perturbation,comparative_perturbation,editorial_2d_overview,editorial_2d_overview,mirrored_low_high_spatial_comparison,mirrored_comparison,medium,inferred_from_caption,high,assets/stage1_5/S15-018/S15-018_fig4.jpg,96be657e336cebbd50564d5245f8278b0376ce689728027b64fdaa1c8254de00,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_aws_harvested,true,true,"Schematic and simulation of spatial distribution of the cross-feeding community consisting of two strains during colony expansion. (a) Substrate does not have toxicity toward bacteria. (b) The substrate has toxicity to bacteria. In this case, the detoxifier cells expand first by the proliferating consumer cells to degrade the toxic substrate, resulting in sequential range expansion."
ACTIVE::S15-020::Figure 6,ACTIVE::S15-020::Figure 6,,active,manifests/stage1_5_wave3_harvested_figures.csv,S15-020,stage1_5_public_harvest,Applied and Environmental Microbiology,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366296/,Figure 6,electron_transfer,electron_transfer,2d_pathway_cutaway,pathway_cutaway_2d,semiconductor_to_membrane_eet,zoom_in_multiscale,medium,inferred_from_caption,high,assets/stage1_5/S15-020/S15-020_fig6.jpg,d7a7eef7aa1bfe2f3eff59fde097243580803a465f40cd821d9808f3ef6d4381,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_harvested,true,true,Schematic illustration of the ultrafast electron transfer mechanism at Cd x Zn 1- x S/MR-1 interface.
ACTIVE::S15-022::Figure 1,ACTIVE::S15-004::Figure 1,ACTIVE::S15-004::Figure 1,active,manifests/stage1_5_wave3_harvested_figures.csv,S15-022,stage1_5_public_harvest,Chemical Reviews,2026,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,Figure 1,integrated_mechanism,integrated_mechanism,editorial_2d_overview,editorial_2d_overview,radial_biohybrid_design_map,zoom_in_multiscale,high,inferred_from_caption,high,assets/stage1_5/S15-022/S15-022_fig1.jpg,91e01d40d55532a5d436428eaee8dd9d4ab2d30433d6ba9472196ab589b32ed1,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_harvested,true,true,"Schematic illustration of unravelling microbe–semiconductor interfacial electron transfer for efficient solar-driven biosynthesis: fundamentals and mechanisms, current design of microbe–semiconductor biohybrid interfaces, characterizations of biohybrid interfacial electron transfer, and future opportunities and outlook."
ACTIVE::S15-022::Figure 6,ACTIVE::S15-022::Figure 6,,active,manifests/stage1_5_wave3_harvested_figures.csv,S15-022,stage1_5_public_harvest,Chemical Reviews,2026,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC13107470/,Figure 6,material_microbe_interface,material_microbe_interface,flat_2d_comparison,flat_2d_mechanism,four_biohybrid_architectures,zoom_in_multiscale,medium,inferred_from_caption,high,assets/stage1_5/S15-022/S15-022_fig6.jpg,9b7512a13153c83d8a4fa0dee2a69a9ed7229e5aec7f0bf7e74539434f9f2e50,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_harvested,true,true,Schematic illustration of integrated microbe–semiconductor biohybrid systems. (a) Dispersed colloidal semiconductor–microbe biohybrid system. (b) Semiconductor photocatalyst sheet–microbe biohybrid system. (c) Microbe–semiconductor PEC biohybrid system. (d) Microbe–semiconductor “PV+EC” biohybrid system.
ACTIVE::S15-023::Figure 1,ACTIVE::S15-023::Figure 1,,active,manifests/stage1_5_wave3_harvested_figures.csv,S15-023,stage1_5_public_harvest,ACS Sustainable Chemistry & Engineering,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12635957/,Figure 1,integrated_mechanism,integrated_mechanism,mixed_2d_mechanism,pathway_cutaway_2d,photoelectrode_microbe_partner_flow,zoom_in_multiscale,high,inferred_from_caption,high,assets/stage1_5/S15-023/S15-023_fig1.jpg,a8dfecce77f364f1b51d52611d34205c93df8a74b13de932ae58b001328dffb0,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_harvested,true,true,"Mechanistic schematic of the semiartificial biohybrid system coupling solar-driven CO 2 reduction to microbial chain elongation. A diagram depicting the mechanistic pathway of photosynthetic ethanol and acetate production from CO 2 on S. ovata |MgO|CuBi 2 O 4 |FTO. The photocathode (CuBi 2 O 4 layer on FTO with MgO surface passivation) absorbs visible light (hv), promoting charge separation and generating photogenerated electrons within the conduction band (CB, −0.55 V vs SHE at pH 7.0). The reduction potential of H + /H 2 , CO 2 /CH 3 CH 2 OH, and CO 2 /CH 3 COOH are −0.41, −0.33, and −0.27 V (vs SHE at pH 7.0), respectively. S. ovata , shown interacting with the surface of the photocathode, receives electrons directly via outer membrane electron carriers such as c-type cytochromes or hydrogenase (orange dashed line), or indirectly through H 2 produced at the interface and subsequently taken up by the microbe (red dashed line). CO 2 is taken up from the gas phase (blue dashed line) and metabolized through the Wood–Ljungdahl pathway into acetyl-CoA, forming either biomass, acetate, or undergoing further enzymatic reduction to ethanol. This ethanol and acetate are then fed to C. kluyveri , which utilizes the C 2 products and elongates them into higher-value C 4 and C 6 carboxylic acids, specifically butyrate (CH 3 CH 2 CH 2 COO – ) and caproate (CH 3 CH 2 CH 2 CH 2 CH 2 COO – ), along with H 2 gas as a byproduct."
ACTIVE::S15-023::Figure 4,ACTIVE::S15-023::Figure 4,,active,manifests/stage1_5_wave3_harvested_figures.csv,S15-023,stage1_5_public_harvest,ACS Sustainable Chemistry & Engineering,2025,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12635957/,Figure 4,microbial_interaction,microbial_interaction,mixed_schematic_data,flat_2d_mechanism,bioelectrochemical_to_fermentation_pathway,two_organism_interaction,medium,inferred_from_caption,high,assets/stage1_5/S15-023/S15-023_fig4.jpg,4bc1bf6173425f94efd413e58d5e3c230e9e4f59de70e708e958311980315d84,public_mirror_allowed_cc_by,public_mirror_allowed_cc_by,,true,direct_contact_sheet_screened_then_harvested,true,true,"(a) Schematic representation of BPEC-driven CO 2 RR to C 2 chemicals (acetate and ethanol), coupled to the fermentation mechanism with C. kluyveri . Briefly, the reverse β-oxidation cycle converts ethanol to acetyl-CoA, with one molecule in every six being oxidized to produce an additional acetate equivalent for utilization in adenosine triphosphate (ATP) production. The remaining 5 acetyl-CoA are combined with acetyl-CoA generated in the reverse β-oxidation cycle, with the first cycle producing 3 equiv of butyryl-CoA. This is then converted to butyrate or cycled again and combined with an additional acetyl-CoA molecule, yielding hexanoyl-CoA, which can yield caproate. Alongside, an energy regeneration mechanism is cycled as protons are pumped across the cell membrane, which balances the NADH/NAD + pool. This proton pool creates a force that allows enhanced recovery of 2.5 ATP molecules per cycle. (b) Quantities of ethanol and acetate produced via the BPEC reaction with S. ovata . (c) Quantities of acetate, ethanol, butyrate, and caproate detected postfermentation (3 days) with C. kluyveri . Error bars correspond to s.d ( n = 3 independent samples)."
