candidate_id,year,journal,article_url,figure_number,decision,style_learning_tier,primary_purpose,style_family,layout_archetype,domain_relevance_to_bath_rp,rights_status,public_mirror,visual_qa,notes
S15-050,2025,Environmental Science and Technology,https://pmc.ncbi.nlm.nih.gov/articles/PMC11823449/,2,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-050,2025,Environmental Science and Technology,https://pmc.ncbi.nlm.nih.gov/articles/PMC11823449/,3,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-050,2025,Environmental Science and Technology,https://pmc.ncbi.nlm.nih.gov/articles/PMC11823449/,4,C,C_context_reference,mineral_reduction_context,quantitative_data_figure,isotope_mineral_quantitative,moderate,public_mirror_allowed_cc_by,false,completed,mineral-reduction context only; not schematic enough for active style learning
S15-051,2025,Journal of Environmental Chemical Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456402/,1,C,C_context_reference,context_only,quantitative_or_reactor,not_for_active_style_set,low,restrictive_or_unknown,false,completed,restrictive/unknown source or low incremental style value
S15-051,2025,Journal of Environmental Chemical Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456402/,2,C,C_context_reference,context_only,quantitative_or_reactor,not_for_active_style_set,low,restrictive_or_unknown,false,completed,restrictive/unknown source or low incremental style value
S15-051,2025,Journal of Environmental Chemical Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456402/,3,C,C_context_reference,context_only,quantitative_or_reactor,not_for_active_style_set,low,restrictive_or_unknown,false,completed,restrictive/unknown source or low incremental style value
S15-051,2025,Journal of Environmental Chemical Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456402/,4,C,C_context_reference,context_only,quantitative_or_reactor,not_for_active_style_set,low,restrictive_or_unknown,false,completed,restrictive/unknown source or low incremental style value
S15-051,2025,Journal of Environmental Chemical Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456402/,5,C,C_context_reference,context_only,quantitative_or_reactor,not_for_active_style_set,low,restrictive_or_unknown,false,completed,restrictive/unknown source or low incremental style value
S15-051,2025,Journal of Environmental Chemical Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456402/,6,C,C_context_reference,context_only,quantitative_or_reactor,not_for_active_style_set,low,restrictive_or_unknown,false,completed,restrictive/unknown source or low incremental style value
S15-051,2025,Journal of Environmental Chemical Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456402/,7,C,C_context_reference,context_only,quantitative_or_reactor,not_for_active_style_set,low,restrictive_or_unknown,false,completed,restrictive/unknown source or low incremental style value
S15-051,2025,Journal of Environmental Chemical Engineering,https://pmc.ncbi.nlm.nih.gov/articles/PMC12456402/,8,C,C_context_reference,context_only,quantitative_or_reactor,not_for_active_style_set,low,restrictive_or_unknown,false,completed,restrictive/unknown source or low incremental style value
S15-052,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11006836/,1,A,A_style_reference,mineral_microbe_interface,mixed_schematic_data,iron_mineral_redox_bridge,high,public_mirror_allowed_cc_by,true,completed,selected: adds non-cross-feeding EET/material/mineral visual grammar
S15-052,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11006836/,2,C,C_context_reference,mineral_redox_context,mixed_schematic_data,iron_redox_cycle_evidence,moderate,public_mirror_allowed_cc_by,false,completed,context only: useful mineral redox evidence but layout mostly quantitative
S15-052,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11006836/,3,C,C_context_reference,carbon_flow_context,mixed_schematic_data,consortia_carbon_flow,moderate,public_mirror_allowed_cc_by,false,completed,context only: not targeted because cross-feeding/carbon-flow is not a current gap
S15-052,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11006836/,4,B,B_style_reference,electron_transfer,mixed_schematic_data,bioelectrochemical_consortia_electron_flow,high,public_mirror_allowed_cc_by,true,completed,selected: adds non-cross-feeding EET/material/mineral visual grammar
S15-052,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11006836/,5,C,C_context_reference,electron_transfer_context,quantitative_data_figure,pure_culture_eet_evidence,moderate,public_mirror_allowed_cc_by,false,completed,context only: quantitative EET evidence but low schematic transfer value
S15-052,2024,Nature Communications,https://pmc.ncbi.nlm.nih.gov/articles/PMC11006836/,6,C,C_context_reference,electron_transfer_context,quantitative_data_figure,co2_reducer_eet_evidence,moderate,public_mirror_allowed_cc_by,false,completed,context only: quantitative EET evidence but low schematic transfer value
S15-053,2024,Bioresource Technology Reports,https://pmc.ncbi.nlm.nih.gov/articles/PMC11786194/,1,C,C_context_reference,reactor_schematic,soft_2_5d_workflow,reactor_cutaway,moderate,public_mirror_allowed_cc_by,false,completed,workflow/reactor class already overrepresented; keep context only
S15-053,2024,Bioresource Technology Reports,https://pmc.ncbi.nlm.nih.gov/articles/PMC11786194/,2,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-053,2024,Bioresource Technology Reports,https://pmc.ncbi.nlm.nih.gov/articles/PMC11786194/,3,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-053,2024,Bioresource Technology Reports,https://pmc.ncbi.nlm.nih.gov/articles/PMC11786194/,4,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-053,2024,Bioresource Technology Reports,https://pmc.ncbi.nlm.nih.gov/articles/PMC11786194/,5,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
S15-053,2024,Bioresource Technology Reports,https://pmc.ncbi.nlm.nih.gov/articles/PMC11786194/,6,exclude,exclude_from_style_learning,quantitative_or_low_incremental_value,quantitative_data_figure,panel_grid_or_imaging,low,public_mirror_allowed_cc_by,false,completed,"exclude: data-heavy, imaging-heavy, redundant, or low incremental visual grammar"
